Date,20-24_College_Graduates,20-24_No_College,All
2000-01-01,3.8,9.3,4.0
2000-02-01,4.4,9.6,4.1
2000-03-01,5.1,9.5,4.0
2000-04-01,4.0,7.5,3.8
2000-05-01,5.1,8.1,4.0
2000-06-01,6.1,8.2,4.0
2000-07-01,5.4,8.0,4.0
2000-08-01,4.4,8.0,4.1
2000-09-01,4.3,7.6,3.9
2000-10-01,3.9,7.8,3.9
2000-11-01,2.5,8.5,3.9
2000-12-01,3.0,8.4,3.9
2001-01-01,5.5,9.6,4.2
2001-02-01,3.9,9.8,4.2
2001-03-01,4.1,9.4,4.3
2001-04-01,3.7,8.4,4.4
2001-05-01,4.7,9.1,4.3
2001-06-01,7.0,8.8,4.5
2001-07-01,6.6,9.0,4.6
2001-08-01,10.0,9.4,4.9
2001-09-01,9.7,9.0,5.0
2001-10-01,4.7,10.2,5.3
2001-11-01,4.8,10.6,5.5
2001-12-01,3.3,11.3,5.7
2002-01-01,4.3,12.1,5.7
2002-02-01,5.7,12.7,5.7
2002-03-01,4.3,12.4,5.7
2002-04-01,4.7,12.2,5.9
2002-05-01,5.9,9.5,5.8
2002-06-01,5.8,9.8,5.8
2002-07-01,7.0,11.2,5.8
2002-08-01,8.0,10.5,5.7
2002-09-01,8.0,11.0,5.7
2002-10-01,5.2,11.2,5.7
2002-11-01,3.8,10.2,5.9
2002-12-01,3.7,11.1,6.0
2003-01-01,6.3,12.4,5.8
2003-02-01,6.0,12.0,5.9
2003-03-01,5.0,10.9,5.9
2003-04-01,4.4,11.2,6.0
2003-05-01,6.4,11.9,6.1
2003-06-01,7.6,12.9,6.3
2003-07-01,8.6,12.1,6.2
2003-08-01,8.1,12.2,6.1
2003-09-01,6.5,13.0,6.1
2003-10-01,6.5,11.7,6.0
2003-11-01,4.9,11.7,5.8
2003-12-01,4.1,11.3,5.7
2004-01-01,5.3,12.5,5.7
2004-02-01,6.0,12.7,5.6
2004-03-01,6.4,13.2,5.8
2004-04-01,4.0,11.2,5.6
